"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"76","Forest Hills",-122.7201,45.41251,"inside","morning",6.0540746624305,8.58895949166005,8.99781572676727,-72.0007942811755,82.9841143764893,31.6838760921366,8.58895949166005,0.0753453947368421,1003.77081414474,NA
"77","Forest Hills",-122.7201,45.41251,"inside","night",7.43456335616438,10.5333476027397,11.0014297945205,-70.1558219178082,85.9118150684932,29.9203767123288,10.5105393835616,0.0728596802841918,1002.47436056838,NA
"78","G&M_Inside",-122.6333,45.49953,"inside","afternoon",65.5644927536232,112.159565217391,118.622753623188,-60.9275362318841,92.2173913043478,9.26086956521739,77.7286956521739,0.05,861.171470588235,NA
"79","G&M_Inside",-122.6333,45.49953,"inside","morning",15.705,28.835,32.2066666666667,-60.8333333333333,71.8333333333333,18,28.425,0.05,863.66,NA
"80","GH Tillamook Row",-122.6665,45.53762,"outside","afternoon",9.68033685859773,14.8883078730905,15.9453192322758,-82.327329678935,76.4487079091621,45.8386844166014,14.4477555816686,0.02,1013.13217084639,NA
"81","GH Tillamook Row",-122.6665,45.53762,"outside","morning",10.8534482758621,18.6328577090765,20.3398018232263,-81.7614896988907,63.7551505546751,68.5705229793978,18.0435909631391,0.02,1012.7592704203,NA
"82","GH Tillamook Row",-122.6665,45.53762,"outside","night",11.2864661354582,17.734203187251,19.0574023904382,-81.4629482071713,65.397609561753,64.2358565737052,17.1985298804781,0.02,1012.56066135458,NA
"83","GH Tillamook Row 48a",-122.6656,45.53803,"inside","afternoon",2.24911111111111,3.78769259259259,4.90057037037037,-60.2962962962963,81.2622222222222,41.3674074074074,3.78768888888889,0.0397555555555556,1014.69008148148,NA
"84","GH Tillamook Row 48a",-122.6656,45.53803,"inside","morning",2.29841481481481,3.59731481481481,4.12131481481481,-60.1844444444444,80.14,41.9888888888889,3.59728888888889,0.0399555555555556,1015.05693333333,NA
"85","GH Tillamook Row 48a",-122.6656,45.53803,"inside","night",3.29504832713755,4.9419405204461,5.63743866171004,-60.7509293680297,80.7724907063197,41.1122676579926,4.9419405204461,0.0399256505576208,1014.59095167286,NA
"86","Gnomish Air",-122.653,45.49235,"inside","afternoon",4.57619873817035,7.49266561514196,8.19851735015773,-64.2649842271293,80.8817034700315,35.7555205047319,5.05358044164038,0.03,1011.49214511041,NA
"87","Gnomish Air",-122.653,45.49235,"inside","morning",15.3618881118881,31.4290734265734,34.6216958041958,-62.6416083916084,77.7097902097902,38.6888111888112,21.1035664335664,0.03,1010.36645104895,NA
"88","Gnomish Air",-122.653,45.49235,"inside","night",0.0842222222222222,0.222968253968254,0.284666666666667,-63.1857142857143,78.6079365079365,39.4269841269841,0.222968253968254,0.03,1018.78393650794,NA
"89","Gnomish Garden",-122.6529,45.49234,"outside","afternoon",8.09390749601276,13.7961562998405,14.9681897926635,-65.8835725677831,67.7783094098884,48.3684210526316,10.4456618819777,0.0387060702875399,1011.06118022329,NA
"90","Gnomish Garden",-122.6529,45.49234,"outside","morning",10.6745500848896,21.0812224108659,23.4683955857385,-66.0747028862479,60.9728353140917,61.9830220713073,15.9326655348048,0.0392176870748299,1006.78178268251,NA
"91","Gnomish Garden",-122.6529,45.49234,"outside","night",6.04857936507937,9.6502619047619,10.6057301587302,-67.6269841269841,60.5396825396825,60.152380952381,9.64811904761905,0.0395079365079365,1019.21819047619,NA
"92","Hall House",-122.7016,45.48679,"inside","afternoon",143.444333333333,227.887333333333,242.581666666667,-56.1666666666667,87.6333333333333,12.1666666666667,153.355333333333,0.032,860.764666666667,NA
"93","Healy Heights",-122.6963,45.48813,"outside","afternoon",3.88856444945509,6.06360390830515,6.9423524990605,-61.5273818454614,82.913728432108,39.5671417854464,5.77284103720406,0,986.244977409639,NA
"94","Healy Heights",-122.6963,45.48813,"outside","morning",3.93659295352324,6.58916791604198,7.98311469265367,-62.2765321375187,61.5470852017937,69.4043348281016,6.519464017991,0,986.423872180451,NA
"95","Healy Heights",-122.6963,45.48813,"outside","night",4.68660827431979,7.68108460678345,9.26185613119642,-62.9769345238095,64.3266369047619,61.7120535714286,7.09738725307492,0,986.16929798357,NA
